代码,名称,开盘价,收盘价
_000026,飞亚达,11.67,12.82
_000065,北方国际,8.72,9.85
_000506,中润资源,3.56,3.6
_000534,万泽股份,15.74,17.27
_000599,青岛双星,4.1,4.54
_000678,襄阳轴承,6.24,7.02
_000702,正虹科技,5.78,6.08
_000726,鲁  泰Ａ,7.67,8.11
_000779,甘咨询,11.13,11.5
_000935,四川双马,23.77,24.86
_000937,冀中能源,6.88,6.57
_001979,招商蛇口,14.67,13.95
_002017,东信和平,14.54,15.24
_002037,保利联合,10.98,11.96
_002066,瑞泰科技,12.5,12.74
_002068,黑猫股份,15.0,16.7
_002094,青岛金王,4.2,4.46
_002117,东港股份,8.02,9.01
_002144,宏达高科,11.29,11.98
_002168,惠程科技,3.96,4.17
_002197,证通电子,10.17,11.23
_002213,大为股份,16.36,17.07
_002229,鸿博股份,6.87,7.84
_002246,北化股份,10.71,10.83
_002308,威创股份,5.46,5.43
_002337,赛象科技,5.05,5.44
_002347,泰尔股份,5.01,6.44
_002362,汉王科技,18.41,26.96
_002365,永安药业,11.87,11.75
_002383,合众思壮,7.68,7.82
_002384,东山精密,28.58,28.66
_002403,爱仕达,10.58,11.11
_002421,达实智能,3.73,4.02
_002512,达华智能,3.67,4.8
_002523,天桥起重,3.18,3.28
_002547,春兴精工,5.0,5.19
_002553,南方精工,12.96,13.76
_002577,雷柏科技,12.35,13.13
_002587,奥拓电子,5.98,6.55
_002615,哈尔斯,6.96,7.6
_002632,道明光学,7.38,7.6
_002633,申科股份,10.06,10.66
_002660,茂硕电源,8.68,8.75
_002686,亿利达,6.7,7.2
_002691,冀凯股份,5.73,6.23
_002769,普路通,8.44,9.2
_002777,久远银海,19.39,19.37
_002779,中坚科技,27.04,26.5
_002787,华源控股,8.1,7.66
_002808,恒久科技,14.38,15.68
_002829,星网宇达,39.1,39.51
_002855,捷荣技术,9.14,10.32
_002877,智能自控,7.4,11.75
_002888,惠威科技,13.89,14.89
_002902,铭普光磁,15.3,15.56
_002935,天奥电子,26.5,27.97
_002976,瑞玛精密,25.38,26.28
_002990,盛视科技,34.01,36.17
_003020,立方制药,37.5,39.02
_003036,泰坦股份,12.5,14.37
_600039,四川路桥,11.58,12.23
_600085,同仁堂,47.19,46.19
_600101,明星电力,9.08,9.03
_600106,重庆路桥,4.94,5.35
_600123,兰花科创,14.44,14.15
_600128,弘业股份,8.86,9.07
_600150,中国船舶,24.01,23.91
_600191,华资实业,5.5,5.87
_600195,中牧股份,12.9,14.16
_600230,沧州大化,19.78,20.87
_600250,南纺股份,5.7,6.0
_600256,广汇能源,10.57,10.25
_600266,城建发展,4.6,4.34
_600280,中央商场,2.94,3.13
_600287,江苏舜天,5.46,5.54
_600322,天房发展,2.31,2.28
_600348,华阳股份,15.55,15.47
_600390,五矿资本,5.58,5.48
_600420,国药现代,9.88,10.04
_600469,风神股份,5.22,5.47
_600497,驰宏锌锗,5.48,5.57
_600508,上海能源,15.91,14.74
_600511,国药股份,29.95,30.35
_600533,栖霞建设,3.95,3.89
_600560,金自天正,10.82,11.7
_600562,国睿科技,17.3,17.59
_600571,信雅达,10.3,11.28
_600572,康恩贝,5.05,4.86
_600573,惠泉啤酒,10.28,11.13
_600587,新华医疗,25.83,26.15
_600657,信达地产,5.53,5.53
_600685,中船防务,22.86,23.35
_600756,浪潮软件,15.47,16.22
_600769,祥龙电业,8.3,8.56
_600775,南京熊猫,10.38,10.93
_600814,杭州解百,7.68,7.69
_600933,爱柯迪,23.57,25.12
_600971,恒源煤电,8.35,8.54
_600976,健民集团,58.56,59.65
_600988,赤峰黄金,20.03,20.18
_601086,国芳集团,3.99,4.22
_601598,中国外运,4.08,3.98
_601872,招商轮船,6.42,6.79
_601899,紫金矿业,12.0,11.85
_601999,出版传媒,6.19,6.79
_603081,大丰实业,13.65,14.07
_603089,正裕工业,8.99,9.57
_603200,上海洗霸,18.9,25.9
_603227,雪峰科技,8.9,9.26
_603269,海鸥股份,13.86,14.43
_603289,泰瑞机器,11.25,12.36
_603305,旭升集团,39.6,41.06
_603321,梅轮电梯,7.48,7.9
_603339,四方科技,13.59,13.66
_603356,华菱精工,15.24,15.56
_603398,沐邦高科,29.13,31.01
_603612,索通发展,30.26,28.72
_603619,中曼石油,19.56,19.16
_603798,康普顿,10.86,11.83
_603811,诚意药业,15.24,15.02
_603895,天永智能,27.31,28.39
_603917,合力科技,30.9,30.75
_603990,麦迪科技,20.77,21.87
_603999,读者传媒,5.68,5.95
_605088,冠盛股份,18.99,19.94
_605123,派克新材,133.32,139.6
_605133,嵘泰股份,34.11,39.88
_605151,西上海,20.0,19.96
_605218,伟时电子,17.18,16.76
_605289,罗曼股份,31.0,30.75
